,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Solhan,40,TR,1541291640,61,38.97,41.05,46.4,4.7
1,Isangel,76,VU,1541292463,100,-19.55,169.27,75.66,17.58
2,Cape Town,75,ZA,1541289600,87,-33.93,18.42,60.8,16.11
3,Ribeira Grande,64,PT,1541292463,99,38.52,-28.7,68.01,18.52
4,Rikitea,44,PF,1541292175,95,-23.12,-134.97,75.26,21.43
5,Pevek,80,RU,1541292463,100,69.7,170.27,12.12,4.88
6,Yulara,8,AU,1541289600,23,-25.24,130.99,87.8,10.29
7,Hobart,75,AU,1541291400,51,-42.88,147.33,59.0,14.99
8,Morgan City,1,US,1541290500,80,29.7,-91.21,64.04,5.82
9,Itarema,0,BR,1541292464,81,-2.92,-39.92,78.68,15.17
10,Port Alfred,8,ZA,1541292464,68,-33.59,26.89,71.66,19.15
11,Barrow,0,AR,1541292282,63,-38.31,-60.23,59.06,5.55
12,Dikson,36,RU,1541292455,97,73.51,80.55,23.78,17.58
13,Punta Arenas,75,CL,1541289600,71,-53.16,-70.91,53.6,17.22
14,Pisco,40,PE,1541289600,82,-13.71,-76.2,66.2,16.11
15,Padang,32,ID,1541292465,100,-0.92,100.36,81.56,5.1
16,Talnakh,64,RU,1541292188,79,69.49,88.39,-1.29,2.53
17,Hithadhoo,64,MV,1541292323,100,-0.6,73.08,81.96,3.53
18,San Patricio,92,PY,1541291869,98,-26.98,-56.83,70.8,3.27
19,Busselton,0,AU,1541292453,100,-33.64,115.35,62.34,11.59
20,Lebu,0,ET,1541292465,81,8.96,38.73,41.91,2.26
21,Smithers,90,CA,1541289600,100,54.78,-127.17,41.0,4.7
22,Santa Maria,20,BR,1541289600,100,-29.69,-53.81,64.4,4.7
23,Butaritari,0,KI,1541292465,100,3.07,172.79,84.39,7.56
24,Zaraza,68,VE,1541292466,90,9.35,-65.33,75.48,3.6
25,Wajima,75,JP,1541289600,87,37.4,136.9,57.2,4.7
26,Aklavik,20,CA,1541289600,77,68.22,-135.01,5.0,4.54
27,Poum,20,MK,1541291807,86,41.28,20.71,39.71,1.81
28,Iqaluit,75,CA,1541289600,72,63.75,-68.52,15.8,10.29
29,Hermanus,88,ZA,1541292450,67,-34.42,19.24,59.64,4.21
30,Srednekolymsk,80,RU,1541292216,76,67.46,153.71,-3.5,4.5
31,Tremedal,64,BR,1541292466,85,-14.98,-41.41,69.63,4.99
32,Kongsberg,92,NO,1541290800,93,59.67,9.65,48.2,17.22
33,Hasaki,75,JP,1541289600,77,35.73,140.83,59.0,3.36
34,Ushuaia,75,AR,1541289600,54,-54.81,-68.31,53.6,16.11
35,Atlantis,75,ZA,1541289600,87,-33.57,18.5,60.8,16.11
36,Celestun,20,MX,1541291912,97,20.87,-90.4,81.11,20.38
37,Severo-Kurilsk,68,RU,1541292468,93,50.68,156.12,43.94,7.78
38,Bambous Virieux,40,MU,1541289600,83,-20.34,57.76,71.6,5.82
39,Ravar,8,IR,1541292468,73,31.27,56.81,27.33,2.82
40,Torbay,40,CA,1541289600,93,47.66,-52.73,60.8,19.46
41,Atuona,0,PF,1541292460,100,-9.8,-139.03,80.39,12.59
42,Caravelas,8,BR,1541292469,100,-17.73,-39.27,77.96,18.19
43,Albany,90,US,1541290740,67,42.65,-73.75,44.96,12.75
44,Linhai,88,CN,1541292469,97,28.86,121.14,63.06,3.6
45,Grindavik,20,IS,1541289600,74,63.84,-22.43,33.8,21.92
46,Yeppoon,0,AU,1541291400,51,-23.13,150.74,84.2,5.82
47,Rabo de Peixe,20,PT,1541291400,88,37.8,-25.58,62.6,4.7
48,Jamestown,68,AU,1541292458,50,-33.21,138.6,77.51,6.29
49,Norman Wells,20,CA,1541289600,84,65.28,-126.83,6.8,8.05
50,Mutoko,8,ZW,1541292470,74,-17.4,32.23,64.91,9.64
51,Pangnirtung,76,CA,1541291895,100,66.15,-65.72,13.29,0.85
52,Keti Bandar,0,PK,1541292470,100,24.14,67.45,79.49,5.28
53,Mataura,92,NZ,1541292441,87,-46.19,168.86,48.57,24.96
54,Kaitangata,76,NZ,1541292452,92,-46.28,169.85,47.36,27.76
55,Avarua,75,CK,1541289600,69,-21.21,-159.78,77.0,13.87
56,Muzhi,76,RU,1541292471,91,65.4,64.7,14.24,3.31
57,Bilibino,48,RU,1541292471,67,68.06,166.44,-2.01,2.3
58,Kodiak,90,US,1541289180,71,39.95,-94.76,53.96,9.17
59,Thompson,90,CA,1541289600,92,55.74,-97.86,21.2,5.82
60,Lagoa,0,PT,1541291400,93,37.14,-8.45,55.4,2.24
61,Hofn,92,IS,1541291789,100,64.25,-15.21,38.31,27.76
62,Dunkirk,0,FR,1541290800,80,51.03,2.38,42.8,6.93
63,Deputatskiy,56,RU,1541292472,43,69.3,139.9,-15.24,2.59
64,Ekhabi,80,RU,1541291877,84,53.51,142.97,30.12,22.21
65,Goundam,0,ML,1541292472,37,16.42,-3.66,78.41,12.33
66,Kruisfontein,0,ZA,1541291879,70,-34.0,24.73,65.09,11.14
67,Husavik,12,CA,1541292472,99,50.56,-96.99,28.01,2.98
68,La Ronge,90,CA,1541289600,92,55.1,-105.3,30.2,9.17
69,Mitu,68,IR,1541292473,54,36.2,46.09,42.18,3.71
70,Bastia,0,IT,1541290800,67,44.6,8.98,62.6,10.29
71,Santa Cruz,1,US,1541289360,39,36.97,-122.03,82.4,4.7
72,Qom,0,IR,1541292474,93,34.64,50.88,39.48,2.19
73,Ilulissat,80,GL,1541289000,72,69.22,-51.1,17.6,18.34
74,Narsaq,0,GL,1541289000,41,60.91,-46.05,23.0,4.7
75,Kapaa,75,US,1541289360,63,22.08,-159.32,84.02,14.99
76,Manzhouli,8,CN,1541292476,59,49.6,117.43,0.51,2.98
77,Kempsey,8,AU,1541292476,86,-31.08,152.84,75.3,7.78
78,Souillac,32,FR,1541291400,93,45.6,-0.6,42.8,3.36
79,Vaini,56,IN,1541292477,95,15.34,74.49,71.34,3.6
80,Saint George,20,GR,1541289000,82,39.45,22.34,55.4,3.36
81,Saint-Philippe,75,CA,1541290500,91,45.36,-73.48,39.38,27.51
82,Longyearbyen,20,NO,1541289000,68,78.22,15.63,28.4,29.97
83,Umba,64,RU,1541292477,100,66.69,34.34,37.14,9.53
84,Vysokogornyy,76,RU,1541292478,73,50.1,139.13,23.91,3.76
85,Walvis Bay,92,NA,1541292478,100,-22.95,14.51,60.0,6.62
86,Lompoc,1,US,1541289480,65,34.64,-120.46,82.4,9.17
87,Novonukutskiy,48,RU,1541292478,57,53.7,102.71,18.96,4.83
88,Kavieng,48,PG,1541292478,100,-2.57,150.8,84.12,8.08
89,Puerto Ayora,75,EC,1541289600,69,-0.74,-90.35,77.0,9.17
90,Ballina,80,IE,1541292479,95,54.11,-9.15,49.2,22.84
91,Fuerte Olimpo,32,BR,1541292479,95,-21.04,-57.87,77.46,3.49
92,Carnarvon,56,ZA,1541292479,39,-30.97,22.13,69.9,11.81
93,Nizwa,0,OM,1541292479,55,22.93,57.53,55.5,2.98
94,Ahipara,0,NZ,1541292479,75,-35.17,173.16,64.46,18.07
95,Sao Filipe,12,CV,1541291884,94,14.9,-24.5,78.41,15.61
96,Lethem,24,GY,1541292480,88,3.38,-59.8,79.13,4.54
97,Buchanan,75,LR,1541291400,94,5.88,-10.05,77.0,7.23
98,Tessalit,0,ML,1541292260,34,20.2,1.01,66.71,4.21
99,Tabou,76,CI,1541292480,100,4.42,-7.36,79.13,4.21
100,Qaanaaq,20,GL,1541292480,100,77.48,-69.36,2.85,8.34
101,Seymchan,80,RU,1541291915,89,62.93,152.39,3.03,16.8
102,Kyzyl-Suu,56,KG,1541292480,100,42.34,78.0,25.49,8.86
103,Mount Gambier,92,AU,1541291883,78,-37.83,140.78,60.18,6.73
104,Tuatapere,80,NZ,1541292444,100,-46.13,167.69,48.84,26.87
105,Sri Aman,75,MY,1541289600,94,1.24,111.46,77.0,1.12
106,Roura,0,GF,1541289600,83,4.73,-52.33,78.8,1.12
107,Bandarbeyla,92,SO,1541291884,100,9.49,50.81,79.13,14.83
108,Lewiston,75,US,1541289360,66,46.42,-117.02,55.04,3.36
109,Saint-Joseph,90,FR,1541289600,82,43.56,6.97,66.2,3.36
110,San Policarpo,80,PH,1541292481,100,12.18,125.51,79.76,6.85
111,Solnechnyy,32,RU,1541292481,59,50.72,136.64,22.47,4.88
112,Salalah,0,OM,1541289000,60,17.01,54.1,75.2,3.36
113,Cascais,20,PT,1541291400,87,38.7,-9.42,57.2,2.24
114,Bluff,0,AU,1541292482,46,-23.58,149.07,84.44,6.78
115,Fortuna,0,ES,1541291400,76,38.18,-1.13,51.8,5.82
116,Nadym,0,RU,1541291882,49,65.53,72.51,-2.33,2.26
117,Balao,64,EC,1541292482,91,-2.91,-79.82,73.73,4.05
118,Hamilton,75,CA,1541289600,80,43.26,-79.87,42.8,9.17
119,Moron,92,VE,1541292483,92,10.49,-68.2,71.61,2.86
120,Albuquerque,20,US,1541290500,22,35.08,-106.65,55.94,13.87
121,Coquimbo,0,CL,1541289600,87,-29.95,-71.34,55.4,5.82
122,Tuktoyaktuk,75,CA,1541289600,84,69.44,-133.03,1.4,8.05
123,Lyskovo,92,RU,1541292483,94,56.03,45.04,40.02,16.84
124,Bjornevatn,68,NO,1541290800,94,69.67,29.98,32.0,2.24
125,Yatou,40,CM,1541289600,94,3.63,9.81,77.0,2.24
126,Mar del Plata,0,AR,1541292484,50,-46.43,-67.52,60.09,18.63
127,Geraldton,90,CA,1541290380,86,49.72,-86.95,28.4,8.05
128,New Norfolk,75,AU,1541291400,51,-42.78,147.06,59.0,14.99
129,Khatanga,76,RU,1541292484,85,71.98,102.47,4.83,12.82
130,Bambanglipuro,100,ID,1541292484,99,-7.95,110.28,74.22,2.98
131,Meulaboh,64,ID,1541292484,100,4.14,96.13,76.65,4.54
132,Oparino,92,RU,1541292484,98,59.85,48.28,38.22,5.39
133,Synya,88,RU,1541292485,91,65.37,58.04,26.93,4.27
134,Turukhansk,76,RU,1541292485,77,65.8,87.96,2.22,5.5
135,Oda,75,JP,1541289600,71,35.19,132.5,53.6,8.05
136,San Quintin,20,PH,1541289600,94,17.54,120.52,78.8,2.24
137,Maglie,75,IT,1541290800,93,40.12,18.3,64.4,1.12
138,Le Port,36,FR,1541292486,79,42.87,1.37,19.28,1.19
139,Klaksvik,92,FO,1541290800,87,62.23,-6.59,48.2,23.04
140,Leningradskiy,76,RU,1541292460,97,69.38,178.42,28.77,14.67
141,Tulum,75,MX,1541289120,88,20.21,-87.46,78.8,3.36
142,Sorland,92,NO,1541292486,100,67.67,12.69,47.49,34.54
143,Omboue,92,GA,1541292460,100,-1.57,9.26,79.49,8.12
144,Yaan,56,NG,1541292486,92,7.38,8.57,73.77,8.08
145,Sambava,76,MG,1541292487,100,-14.27,50.17,74.4,3.83
146,Chhabra,0,IN,1541292487,70,24.67,76.85,66.89,2.82
147,Mayen,0,DE,1541290800,86,50.33,7.22,41.0,4.7
148,Carutapera,56,BR,1541292487,79,-1.2,-46.02,81.74,9.35
149,Mapiripan,0,CO,1541292487,82,2.89,-72.13,78.0,6.85
150,East London,68,ZA,1541292487,89,-33.02,27.91,71.43,28.43
151,Khargone,88,IN,1541292488,69,21.82,75.61,73.86,2.04
152,Pochutla,75,MX,1541288400,66,15.74,-96.47,86.0,5.82
153,Flinders,48,AU,1541289600,44,-34.58,150.85,75.2,9.17
154,Macusani,56,PE,1541292488,100,-14.07,-70.43,52.17,1.81
155,Cap Malheureux,40,MU,1541289600,83,-19.98,57.61,71.6,5.82
156,Luderitz,48,NA,1541289600,72,-26.65,15.16,60.8,9.17
157,Maniitsoq,68,GL,1541292489,100,65.42,-52.9,11.76,7.29
158,Teya,75,MX,1541288940,94,21.05,-89.07,73.4,11.41
159,Najran,0,SA,1541289600,52,17.54,44.22,64.4,1.7
160,Buala,92,SB,1541292489,90,-8.15,159.59,83.09,10.09
161,Chokurdakh,44,RU,1541291897,60,70.62,147.9,-12.5,4.54
162,Baykit,56,RU,1541292489,71,61.68,96.39,11.76,10.36
163,Cayenne,0,GF,1541289600,83,4.94,-52.33,78.8,1.12
164,Richards Bay,0,ZA,1541292481,81,-28.77,32.06,62.39,13.15
165,Port Elizabeth,20,US,1541289360,54,39.31,-74.98,55.04,6.93
166,Arraial do Cabo,12,BR,1541292490,83,-22.97,-42.02,77.19,20.04
167,Marsh Harbour,76,BS,1541292453,100,26.54,-77.06,79.8,8.01
168,Kieta,76,PG,1541291897,100,-6.22,155.63,82.32,5.5
169,Tiksi,68,RU,1541292491,70,71.64,128.87,-1.83,9.57
170,Tagusao,12,PH,1541292491,91,9.19,117.81,83.09,5.88
171,Ponta do Sol,68,BR,1541291909,93,-20.63,-46.0,65.85,2.86
172,Voskresenskoye,92,RU,1541292491,99,56.84,45.43,42.18,7.52
173,Berlevag,92,NO,1541292492,100,70.86,29.09,36.56,4.72
174,Faanui,8,PF,1541292492,100,-16.48,-151.75,82.01,6.29
175,Roald,36,NO,1541290800,62,62.58,6.12,57.2,16.11
176,Xichang,20,CN,1541292492,91,27.88,102.25,33.68,1.3
177,Nikolskoye,40,RU,1541289600,86,59.7,30.79,41.0,13.42
178,Graaff-Reinet,80,ZA,1541292493,24,-32.25,24.53,62.16,7.0
179,Guane,80,CU,1541292493,79,22.2,-84.09,79.98,6.51
180,Biltine,0,TD,1541292445,57,14.53,20.93,64.19,3.76
181,Provideniya,44,RU,1541292493,100,64.42,-173.23,35.39,5.73
182,Pontes e Lacerda,0,BR,1541292419,81,-15.23,-59.33,78.9,4.21
183,Beringovskiy,88,RU,1541292494,100,63.05,179.32,32.01,9.13
184,Denpasar,76,ID,1541292494,100,-8.65,115.22,75.39,1.86
185,Alofi,0,NU,1541289600,57,-19.06,-169.92,77.0,14.99
186,Bredasdorp,100,ZA,1541289600,55,-34.53,20.04,64.4,4.7
187,Chuy,20,UY,1541292488,95,-33.69,-53.46,57.66,4.27
188,Englewood,75,US,1541291700,42,39.65,-104.99,46.4,11.41
189,Ostrovnoy,88,RU,1541292494,100,68.05,39.51,32.19,3.38
190,Buraydah,40,SA,1541289600,100,26.33,43.97,60.8,8.05
191,Pleszew,44,PL,1541292495,96,51.9,17.79,44.25,8.63
192,Yellowknife,90,CA,1541289600,85,62.45,-114.38,14.0,10.29
193,Auki,8,NG,1541292495,59,12.18,6.51,65.67,3.6
194,Lithgow,40,AU,1541291400,53,-33.48,150.16,77.0,10.29
195,Vila Velha,75,BR,1541289600,78,-3.71,-38.6,80.6,13.87
196,Esperance,20,TT,1541289600,88,10.24,-61.45,78.8,4.99
197,Ariguani,56,CO,1541292495,93,10.25,-74.0,71.07,0.69
198,Yumen,32,CN,1541292469,70,40.29,97.04,17.61,2.75
199,Sept-Iles,90,CA,1541289600,93,50.2,-66.38,35.6,10.29
200,Entre Rios,88,BR,1541291899,87,-11.94,-38.08,77.64,9.86
201,Young,0,UY,1541292496,56,-32.7,-57.63,70.98,7.85
202,Ancud,92,CL,1541292215,97,-41.87,-73.83,53.43,20.6
203,Bethel,40,US,1541289180,72,60.79,-161.76,32.0,6.93
204,Cherskiy,24,RU,1541292477,78,68.75,161.3,-7.73,2.86
205,Port Macquarie,75,AU,1541289600,78,-31.43,152.91,73.4,11.41
206,Boras,75,SE,1541290800,93,57.72,12.94,42.8,11.41
207,Zemio,64,CF,1541292215,93,5.02,25.13,69.23,2.26
208,Sioux City,90,US,1541290500,93,42.5,-96.41,42.8,9.17
209,Port Lincoln,64,AU,1541292497,84,-34.72,135.86,64.14,4.54
210,Hoi An,40,VN,1541291400,78,15.88,108.33,80.6,1.12
211,Mwanza,68,TZ,1541292498,100,-2.52,32.9,67.16,5.77
212,Verkhoyansk,48,RU,1541292498,54,67.55,133.39,-19.25,2.3
213,Sao Gabriel da Cachoeira,36,BR,1541292498,90,-0.13,-67.09,78.27,2.08
214,Hilo,40,US,1541289360,69,19.71,-155.08,82.04,11.41
215,Portlethen,40,GB,1541290800,87,57.05,-2.13,51.8,17.22
216,Palembang,88,ID,1541292499,99,-2.99,104.76,74.4,4.09
217,Gunupur,56,IN,1541292499,97,19.07,83.81,66.98,2.04
218,Amga,64,RU,1541292499,56,60.89,131.98,11.31,9.64
219,Aras,0,YE,1541292499,75,14.28,44.38,38.13,2.04
220,Hue,75,VN,1541291400,100,16.47,107.58,75.2,1.12
221,Saskylakh,64,RU,1541292500,81,71.97,114.09,-1.92,3.31
222,Bowen,40,AU,1541286000,58,-20.01,148.25,82.4,8.05
223,Biak,0,ID,1541292500,79,-0.91,122.88,84.08,2.75
224,Paamiut,0,GL,1541292500,100,61.99,-49.67,29.85,12.26
225,Port Hardy,90,CA,1541289600,100,50.7,-127.42,50.0,13.87
226,Nemuro,0,JP,1541289600,54,43.32,145.57,57.2,3.36
227,Viedma,24,AR,1541292217,42,-40.81,-62.99,64.86,11.65
228,Aksu,90,KZ,1541289600,92,52.04,76.93,28.4,3.2
229,Petropavlovsk-Kamchatskiy,40,RU,1541289600,87,53.05,158.65,39.2,4.47
230,Sur,0,OM,1541292501,100,22.57,59.53,76.88,16.58
231,Guerrero Negro,0,MX,1541292502,51,27.97,-114.04,76.74,8.3
232,Zeerust,0,ZA,1541289600,55,-25.54,26.07,62.6,17.22
233,Nara,75,JP,1541289600,67,34.68,135.8,64.4,1.12
234,Hosanagara,24,IN,1541292502,100,13.92,75.07,70.08,2.48
235,Mahebourg,40,MU,1541289600,83,-20.41,57.7,71.6,5.82
236,Vanimo,68,PG,1541292502,100,-2.67,141.3,81.06,12.66
237,Murgab,0,TM,1541289600,80,37.5,61.97,30.2,2.59
238,Xingyi,0,CN,1541292503,93,24.19,102.82,47.31,4.27
239,Awjilah,0,LY,1541292503,83,29.14,21.3,55.59,2.86
240,Gibsons,90,CA,1541290560,93,49.4,-123.51,51.8,10.29
241,Gazli,0,UZ,1541292503,78,40.13,63.45,23.06,4.72
242,Great Bend,90,US,1541289360,65,38.36,-98.78,51.08,16.11
243,Sitka,68,US,1541292476,49,37.17,-99.65,57.75,17.69
244,North Bend,1,US,1541289360,89,43.41,-124.22,55.04,4.7
245,Trois-Rivieres,92,CA,1541292410,96,46.35,-72.55,40.02,26.93
246,Kutum,0,SD,1541292504,36,14.2,24.66,60.09,7.78
247,Mocajuba,56,BR,1541292504,85,-2.58,-49.5,76.88,4.05
248,Karla,20,EE,1541290800,100,59.37,24.93,39.2,3.36
249,Georgetown,20,GY,1541289600,88,6.8,-58.16,78.8,5.06
250,Airai,0,TL,1541292458,66,-8.93,125.41,79.58,2.26
251,Miri,76,NG,1541292505,61,10.31,9.75,70.49,2.3
252,Fairbanks,1,US,1541289480,76,64.84,-147.72,17.96,3.38
253,Almeirim,20,PT,1541291400,87,39.21,-8.63,57.2,2.24
254,Nanortalik,0,GL,1541292505,96,60.14,-45.24,31.2,28.66
255,Nosy Varika,92,MG,1541292505,100,-20.58,48.53,68.69,5.88
256,Yar-Sale,0,RU,1541292505,100,66.83,70.83,3.89,0.51
257,Douglas,1,US,1541289360,17,31.34,-109.55,71.96,12.75
258,Castro,92,CL,1541292450,98,-42.48,-73.76,52.13,13.67
259,Northam,92,GB,1541289000,87,51.04,-4.21,53.6,12.75
260,Nouadhibou,36,MR,1541289600,88,20.93,-17.03,66.2,11.41
261,Toowoomba,0,AU,1541289600,38,-27.56,151.95,87.8,12.75
262,Machachi,75,EC,1541289600,71,-0.51,-78.57,57.2,6.93
263,Qaqortoq,0,GL,1541289000,41,60.72,-46.03,23.0,4.7
264,Mandalgovi,0,MN,1541292507,81,45.76,106.27,10.32,3.27
265,Nortelandia,44,BR,1541292508,88,-14.45,-56.8,77.78,4.72
266,Sharjah,0,AE,1541289600,31,25.36,55.39,77.0,10.29
267,Novikovo,0,UA,1541292508,100,45.05,34.56,35.43,3.04
268,Heihe,0,RU,1541289600,48,50.24,127.51,19.4,8.95
269,Abonnema,48,NG,1541292509,97,4.71,6.79,73.19,2.82
270,Balikpapan,76,ID,1541292509,100,-1.24,116.86,78.68,3.6
271,Saldanha,0,PT,1541292463,84,41.42,-6.55,35.79,2.71
272,Wesselsbron,20,ZA,1541292509,48,-27.85,26.36,60.86,14.79
273,Tumarbong,88,PH,1541292509,99,10.38,119.46,84.08,14.56
274,Conceicao da Barra,8,BR,1541292510,92,-18.59,-39.73,77.55,14.67
275,Bahia de Caraquez,40,EC,1541289600,83,-0.6,-80.42,75.2,11.41
276,Susanville,1,US,1541289300,18,40.42,-120.65,62.6,4.7
277,Cidreira,100,BR,1541292483,97,-30.17,-50.22,65.22,9.86
278,Arroyo,20,US,1541289240,69,41.39,-78.88,39.92,6.93
279,Lakeside,75,US,1541291580,83,32.86,-116.92,82.4,5.82
280,Itacoatiara,12,BR,1541292511,89,-3.14,-58.44,79.71,1.81
281,Vila Franca do Campo,20,PT,1541289600,82,37.72,-25.43,64.4,4.7
282,Novyy Urgal,0,RU,1541292511,60,51.07,132.56,12.3,4.61
283,Bud,80,NO,1541290800,93,62.91,6.91,57.2,11.41
